,date,region,source,ship_type,area,location,pollutant,estimated_litres
787,15/07/2015,Cairns,Unknown,Unknown,port limits,"Tropical Reef Shipyard,  Trinity Inlet,  Cairns",sheen,unknown
788,17/07/2015,Townsville,Ship,Unknown,coastal waters,20nm North of Cape Upstart,hfo,10000.0
789,21/07/2015,Townsville,Unknown,Unknown,port limits,"Boat Ramp Number 2, Ross Creek, Townsville",sheen,unknown
790,24/07/2015,Cairns,Unknown,Unknown,port limits,"RaptIs Wharf, Norman River, Karumba",unknown,unknown
791,29/07/2015,Cairns,Ship,Commercial,port limits,"RaptIs Wharf, Norman River, Karumba",diesel,10.0
792,31/07/2015,Gladstone,Ship,Commercial,port limits,"Port Alma Public Boat Ramp, Port Alma",sheen,unknown
793,7/08/2015,Cairns,Unknown,Unknown,coastal waters,"Googarra Beach, Tully Heads",unknown,unknown
794,14/08/2015,Mackay,Ship,Commercial,port limits,"Mackay Marina, Mackay",bilge,2.0
795,17/08/2015,Brisbane,Ship,Recreational,coastal waters,"Southport Yacht club, Gold Coast Broadwater, Gold Coast",diesel,unknown
796,20/08/2015,Brisbane,Unknown,Unknown,coastal waters,"Karragarra Ws near Karragarra Island, Southern Moreton Bay, Gold Coast",sheen,unknown
797,20/08/2015,Cairns,Unknown,Unknown,port limits,2nm West South West of Green Island off Cairns,diesel,unknown
798,20/08/2015,Gladstone,Ship,Commercial,port limits,"Fishermans Landing Wharf, Gladstone Harbour, Gladstone",hydraulic oil,1.0
799,24/08/2015,Cairns,Ship,Recreational,coastal waters,"Chapman Island Anchorage, Chapman Island, 4nm SE of Cape Direction",sheen,unknown
800,25/08/2015,Brisbane,Land,Unknown,coastal waters,"Coomera River, M1 bridge, Gold Coast",diesel,1.0
801,25/08/2015,Mackay,Ship,Commercial,coastal waters,"Western Finger, Shute Harbour",bilge,unknown
802,22/09/2015,Townsville,Unknown,Unknown,port limits,"Berth 10, Townsville Harbour, Townsville",hydraulic oil,20.0
803,7/10/2015,Gladstone,Ship,Recreational,port limits,"G Finger, Gladstone Marina, Gladstone",diesel,1.0
804,7/10/2015,Townsville,Land,Unknown,port limits,"Storm Water Drain, Berth 1, Townsville Harbour, Townsville",sheen,unknown
805,11/10/2015,Townsville,Ship,Recreational,port limits,"D18, D Arm, Magnetic Island Marina, Magnetic Island",diesel,unknown
806,4/11/2015,Cairns,Ship,Unknown,port limits,"Navy Base, Cairns Harbour, Cairns",diesel,unknown
807,10/11/2015,Townsville,Ship,Commercial,port limits,"Magnetic Island Marina, Magnetic Island",diesel,2.0
808,28/11/2015,Cairns,Unknown,Unknown,port limits,"Lorim Point Wharf, Weipa",diesel,50.0
809,30/11/2015,Cairns,Ship,Commercial,port limits,"Trinity Wharf, Cairns",diesel,5.0
810,3/12/2015,Brisbane,Ship,Recreational,coastal waters,"Columbus Drive Canal, Hollywell, Gold Coast",bilge,15.0
811,14/12/2015,Cairns,Unknown,Unknown,coastal waters,"Johnstone River near Banana Island, Innisfail",diesel,unknown
812,17/12/2015,Townsville,Ship,Commercial,port limits,"CUF Berth, Ross Haven Marina, Ross River, Townsville",diesel,600.0
813,22/12/2015,Cairns,Ship,Commercial,coastal waters,"Mouth of Bloomfield River, Cape York",diesel,unknown
814,31/12/2015,Brisbane,Ship,Recreational,coastal waters,"Sanctuary Cove Marina, Hope Island, Gold Coast",diesel,200.0
815,3/01/2016,Mackay,Ship,Recreational,coastal waters,"Whitsunday Sailing Club, Rock Wall, Airlie Beach",other,unknown
816,5/01/2016,Townsville,Ship,Recreational,port limits,"Ross Creek, Townsville",diesel,60.0
817,9/01/2016,Mackay,Ship,Recreational,coastal waters,"Shute Harbour Mooring Grid, Shute Harbour",sheen,unknown
818,22/01/2016,Brisbane,Unknown,Unknown,coastal waters,"Queensland Cruising Yacht Club, Cabbage Tree Creek, Sandgate",diesel,unknown
819,2/02/2016,Brisbane,Land,Unknown,coastal waters,"Nerang River at Pacific Motorway Road Bridge, Nerang",diesel,100.0
820,2/02/2016,Mackay,Land,Unknown,port limits,"Fuel Pontoon, Mackay Marina,  Mackay",other,70.0
821,16/02/2016,Brisbane,Unknown,Unknown,coastal waters,"Mooloola River, Opposite Pilot Station, Mooloolaba",diesel,unknown
822,18/02/2016,Cairns,Ship,Commercial,port limits,"Main Wharf, Thursday Island, Torres Strait",diesel,10.0
823,26/02/2016,Gladstone,Unknown,Unknown,port limits,"Sea Link Berths, Gladstone Marina, Gladstone",bilge,unknown
824,28/02/2016,Townsville,Unknown,Unknown,port limits,"D Finger Breakwater Marina, Townsville",diesel,unknown
825,4/04/2016,Gladstone,Land,Unknown,port limits,"Service Wharf, Gladstone Marina, Gladstone",diesel,11.0
826,5/04/2016,Brisbane,Ship,Commercial,port limits,"Berth 4, Fisherman Islands, Brisbane River, Brisbane",diesel,unknown
827,5/04/2016,Townsville,Land,Unknown,port limits,"Port of Townsville, Townsville",other,unknown
828,7/04/2016,Brisbane,Ship,Recreational,coastal waters,"South West corner of Wave Break Island, Gold Coast",diesel,15.0
829,7/04/2016,Cairns,Unknown,Unknown,port limits,"Karumba Boat Ramp, Karumba",diesel,20.0
830,8/04/2016,Gladstone,Unknown,Unknown,port limits,"Gladstone Marina, Gladstone",diesel,unknown
831,20/04/2016,Brisbane,Ship,Recreational,coastal waters,"Main Channel, Horizon Shores Marina, Gold Coast",hydraulic oil,unknown
832,30/04/2016,Brisbane,Ship,Recreational,coastal waters,"Mooloolaba Boat Harbour, Mooloolaba",sheen,unknown
833,3/05/2016,Townsville,Ship,Recreational,port limits,"Berth 7 Townsville Yacht Club, Townsville",diesel,100.0
834,11/05/2016,Gladstone,Ship,Commercial,coastal waters,Approximately 10nm East of Round Hill Head,other,unknown
835,11/05/2016,Gladstone,Ship,Commercial,port limits,"Pelican Bay, Great Sandy Straits",diesel,unknown
836,28/05/2016,Gladstone,Ship,Commercial,port limits,"Australia Pacific LNG Terminal, Curtis Island, Gladstone",hydraulic oil,10.0
837,29/05/2016,Townsville,Ship,Commercial,port limits,"Outer Harbour, Bowen",diesel,unknown
838,30/05/2016,Mackay,Ship,Recreational,coastal waters,"F Arm, Port of Airlie, Airlie Beach",sheen,unknown
839,4/06/2016,Brisbane,Ship,Commercial,coastal waters,"Carters Basin, Gold Coast Broadwater",diesel,unknown
840,8/06/2016,Cairns,Land,Unknown,port limits,"Main Wharf, Thursday Island, Torres Strait",diesel,5.0
841,8/06/2016,Townsville,Ship,Unknown,port limits,"Townsville Harbour, Townsville",grease,unknown
842,20/06/2016,Brisbane,Land,Unknown,port limits,"Boggy Creek, Brisbane",other,unknown
843,22/06/2016,Cairns,Ship,Commercial,port limits,"Lorim Point Tug Berth, Weipa",sheen,unknown
844,1/07/2016,Gladstone,Ship,Recreational,port limits,"Burnett Heads Marina, Bundaberg",diesel,unknown
845,2/07/2016,Brisbane,Ship,Recreational,coastal waters,"Breakfast Creek, Brisbane",diesel,100.0
846,5/07/2016,Brisbane,Ship,Recreational,coastal waters,"Saltwater Creek, 5 Chanpagne Blvd, Helensvale, Gold Coast",diesel,unknown
847,7/07/2016,Cairns,Unknown,Unknown,port limits,"Endeavour River, Cooktown",diesel,20.0
848,12/07/2016,Cairns,Ship,Recreational,port limits,"Mourilyan Harbour, Mourilyan",diesel,unknown
849,13/07/2016,Gladstone,Unknown,Unknown,port limits,"O'Connell Wharf, Auckland Creek, Gladstone",sheen,unknown
850,13/07/2016,Gladstone,Ship,Commercial,port limits,"Trawler base, Gladstone Marina, Gladstone",sump oil,unknown
851,15/07/2016,Brisbane,Ship,Commercial,coastal waters,"Caboolture River, Brisbane",other,unknown
852,21/07/2016,Townsville,Unknown,Unknown,port limits,"Berth 8, Townsville Port, Townsville",sheen,unknown
853,23/07/2016,Cairns,Ship,Commercial,port limits,"Fearnley Street boat ramp, Trinity Inlet, Cairns",bilge,15.0
854,25/07/2016,Brisbane,Ship,Recreational,port limits,"Berth number 2, Fisherman Islands,  Brisbane",hydraulic oil,10.0
855,1/08/2016,Cairns,Ship,Commercial,port limits,"Hey River terminal, Weipa",hydraulic oil,unknown
856,21/08/2016,Townsville,Ship,Recreational,port limits,"Berth J15, Townsville Yacht Club marina, Townsville",diesel,30.0
857,22/08/2016,Gladstone,Unknown,Unknown,port limits,"Urangan harbour, Hervey Bay",sheen,unknown
858,2/09/2016,Gladstone,Land,Unknown,port limits,"Wiggins Island Coal Export Terminal Wharf, Gladstone",other,10.0
859,9/09/2016,Cairns,Unknown,Unknown,port limits,"Marlin Marina, Trinity Inlet, Cairns",diesel,20.0
860,9/09/2016,Cairns,Ship,Commercial,coastal waters,"Flynn Reef, Cairns",diesel,2.0
861,10/09/2016,Gladstone,Unknown,Unknown,port limits,"Bundaberg Port Marina, Bundaberg",diesel,unknown
862,14/09/2016,Gladstone,Land,Unknown,port limits,"Gladstone Marine Centre, Gladstone Marina, Gladstone",other,20.0
863,20/09/2016,Cairns,Unknown,Unknown,port limits,"Cairns crusing yacht squadron, Smiths Creek Cairns",paint,unknown
864,22/09/2016,Cairns,Unknown,Unknown,port limits,"Marlin Marina, Trinity Inlet, Cairns",diesel,unknown
865,4/10/2016,Cairns,Ship,Commercial,port limits,"Trinity Wharf, Chinaman Creek, Cairns",sheen,unknown
866,7/10/2016,Gladstone,Ship,Commercial,port limits,"Upstream of main bridge, Auckland Creek, Gladstone",other,unknown
867,9/10/2016,Townsville,Unknown,Unknown,coastal waters,"Norship base, Port Hinchinbrook",diesel,unknown
868,17/10/2016,Gladstone,Unknown,Unknown,coastal waters,"Eurong, East side of Fraser Island",oil (unspec),unknown
869,18/10/2016,Gladstone,Ship,Commercial,port limits,"Clinton swing basin, Gladstone harbour, Gladstone",hydraulic oil,5.0
870,20/10/2016,Townsville,Unknown,Unknown,port limits,"Berth 8, Townsville Port, Townsville",diesel,10.0
871,21/10/2016,Cairns,Ship,Commercial,port limits,"Humbug wharf, Weipa",sheen,unknown
872,22/10/2016,Cairns,Ship,Recreational,port limits,"South of Passenger wharf, Horn Island anchorage, Horn Island",sheen,unknown
873,27/10/2016,Gladstone,Ship,Commercial,port limits,"Curtis ferries pontoon, Gladstone marina, Gladstone",diesel,unknown
874,5/11/2016,Cairns,Ship,Unknown,port limits,"Navy base, Cairns",diesel,20.0
875,10/11/2016,Brisbane,Unknown,Unknown,port limits,"Lawries Marina, Mooloolaba",diesel,unknown
876,16/11/2016,Brisbane,Ship,Commercial,port limits,"Brisabne Anchorage, Brisbane",unknown,5.0
877,24/11/2016,Brisbane,Unknown,Unknown,coastal waters,"Holman Street Ferry terminal, Kangaroo Point, Brisbane River",unknown,unknown
878,25/11/2016,Gladstone,Ship,Commercial,port limits,"Ship berth, Port Alma",oil (unspec),unknown
879,17/12/2016,Brisbane,Ship,Recreational,coastal waters,"Dog Beach, entrance to the Noosa River, Sunshine Coast",bilge,unknown
880,20/12/2016,Cairns,Ship,Commercial,port limits,"Smiths Creek, Cairns",diesel,10.0
881,23/12/2016,Brisbane,Unknown,Unknown,port limits,"Aquarium Passage, Pinkenba Reach, Brisbane River, Brisbane",diesel,unknown
882,25/12/2016,Cairns,Ship,Commercial,coastal waters,Ribbon Reef number 3,diesel,600.0
883,27/12/2016,Townsville,Ship,Commercial,port limits,"Tug pens, Berth 6, Port of Townsville",hydraulic oil,5.0
884,2/01/2017,Brisbane,Unknown,Unknown,coastal waters,"Spinnaker Sound Marina, Sandstone Point",sump oil,5.0
885,5/01/2017,Cairns,Ship,Commercial,port limits,"Duck Pond, Smiths Creek, Cairns",hydraulic oil,1.5
886,9/01/2017,Brisbane,Unknown,Unknown,coastal waters,"Thompsons Beach, Victoria Point",diesel,unknown
887,27/01/2017,Cairns,Ship,Commercial,coastal waters,"Fitzgerald Esplanade, Johnstone River, Innisfail.",diesel,100.0
888,31/01/2017,Mackay,Ship,Commercial,coastal waters,"Finger number 12, Airlie Beach Marina, Airlie Beach",diesel,8.0
889,9/02/2017,Brisbane,Ship,Commercial,port limits,"Spitfire Channel, Moreton Bay, Brisbane",hydraulic oil,unknown
890,10/02/2017,Townsville,Ship,Commercial,port limits,"Vehicle Ferry Terminal, Ross creek, Townsville",diesel,15.0
891,13/02/2017,Brisbane,Unknown,Unknown,port limits,"Mooloolaba Yachat Club, Mooloolaba River, Mooloolaba",diesel,unknown
892,14/02/2017,Townsville,Ship,Commercial,port limits,"Port of Townsville, Townsville",soot,unknown
893,18/02/2017,Brisbane,Unknown,Unknown,port limits,"Browns slip way, Mooloolaba River, Mooloolaba",diesel,unknown
894,18/02/2017,Townsville,Ship,Commercial,port limits,"Port of Townsville, Townsville",hydraulic oil,1.0
895,21/02/2017,Mackay,Ship,Commercial,port limits,"Anchorage S13, Hay Point",other,3.0
896,22/02/2017,Gladstone,Unknown,Unknown,port limits,"Public boat ramp, Gladstone Marina, Gladstone",bilge,unknown
897,25/02/2017,Townsville,Unknown,Unknown,port limits,"Fantasea loading ramp, Ross Creek, Townsville",sheen,unknown
898,10/03/2017,Mackay,Ship,Commercial,port limits,"Hey Point terminal, Hay Point",diesel,40.0
899,14/03/2017,Brisbane,Land,Unknown,coastal waters,"Kawana Waters Canal, Sunshine Coast",sheen,unknown
900,17/03/2017,Townsville,Unknown,Unknown,port limits,"Rosshaven Marina, Ross River, Townsville",sheen,unknown
901,18/03/2017,Brisbane,Ship,Commercial,port limits,"Incitec South, Lytton Reach, Brisbane River, Brisbane",hfo,500.0
902,21/03/2017,Cairns,Ship,Recreational,port limits,"Main Wharf, Thursday Island",diesel,2.0
903,24/03/2017,Townsville,Unknown,Unknown,port limits,Townsville - Upstream Ross Creek in vicinity of Lowths Bridge,sheen,unknown
904,26/03/2017,Cairns,Ship,Commercial,port limits,Karumba - Raptis Wharf,diesel,300.0
905,27/03/2017,Cairns,Ship,Commercial,port limits,"HumBug Terminal, Weipa",other,unknown
906,19/04/2017,Gladstone,Land,Unknown,port limits,Drain Near Tuan Creek,grease,unknown
907,16/05/2017,Cairns,Ship,Commercial,port limits,Trinity Wharf,lubricant oil,1.0
908,17/05/2017,Townsville,Ship,Commercial,port limits,Breth 5 Port of Townsville,diesel,1.0
909,17/05/2017,Gladstone,Unknown,Unknown,port limits,"Urangan harbour, Hervey Bay",sheen,unknown
910,26/05/2017,Mackay,Ship,Commercial,port limits,BMA Hay Point (old) Trestle Bent 97,hydraulic oil,unknown
911,21/06/2017,Cairns,Ship,Commercial,port limits,BSE slipway floating wharf,diesel,0.5
912,26/06/2017,Gladstone,Ship,Commercial,port limits,"Urangan boat harbour, Hervey Bay",diesel,unknown
913,29/06/2017,Cairns,Ship,Commercial,port limits,Cairns Trinity Wharf # 7/8.,other,40.0
914,,Townsville,Unknown,Unknown,port limits,"Northern entrance to West Channel, Townsville",diesel,unknown
915,,Brisbane,Ship,Recreational,port limits,"Qld Cruising Yacht Club, Cabbage Tree Creek, Shorncliffe",oil (unspec),unknown
916,,Brisbane,Ship,Unknown,port limits,"Queensland Bulk Terminal, Quarries Reach, Brisbane",lubricant oil,0.3
917,,Townsville,Land,Unknown,port limits,Berth 4 - Port of Townsville,other,50.0
918,,Gladstone,Ship,Unknown,port limits,"Town Reach, Burnett River, Bundaberg",diesel,unknown
919,,Gladstone,Land,Unknown,port limits,"Queensland Alumina Limited, South Trees Wharf, Gladstone",other,unknown
920,,Gladstone,Ship,Recreational,port limits,"Gladstone Marina, Finger J2, Gladstone",sump oil,4.0
921,,Brisbane,Unknown,Unknown,port limits,Luggage Point Treatment Plant - Brisbane,other,unknown
922,,Brisbane,Ship,Unknown,port limits,"Eagle Street Ferry Terminal, Brisbane River",diesel,unknown
923,,Gladstone,Ship,Unknown,port limits,"Gladstone Marina, Gladstone",diesel,20.0
924,,Brisbane,Ship,Recreational,coastal waters,"Paradise Point, west of Ephraim Island, Gold Coast",diesel,10.0
925,,Cairns,Ship,Commercial,port limits,"B Finger, Commercial Fisherman base No 1, Cairns",diesel,2.0
926,,Cairns,Ship,Commercial,port limits,"Norship, Smiths Creek, Cairns",hydraulic oil,2.0
927,,Cairns,Ship,Commercial,port limits,"Amrun CHITH export Facility,  Weipa",diesel,unknown
928,,Cairns,Ship,Commercial,coastal waters,"2.8nm from Gubbins Reef, Great Barrier Reef Marine Park",diesel,unknown
929,,Townsville,Ship,Commercial,port limits,"Berth 8, Port of Townsville, Townsville",garbage,unknown
930,,Townsville,Ship,Commercial,port limits,"Berth 5, Ferry Landing, Port of Townsville, Townsville",oil (unspec),unknown
931,,Brisbane,Unknown,Unknown,coastal waters,"Carters Bay, Gold Coast",oil (unspec),unknown
932,,Brisbane,Ship,Unknown,port limits,"Brisbane Pilot Station, Mooloola River, Mooloolaba",hydraulic oil,unknown
933,,Gladstone,Ship,Unknown,port limits,"Gladstone Marina, Gladstone",diesel,unknown
934,,Brisbane,Ship,Unknown,coastal waters,"Southern end of McIntosh Island, Gold Coast",other,unknown
935,,Cairns,Land,Unknown,port limits,"Amrun CHITH export Facility, Weipa.",diesel,unknown
936,,Mackay,Unknown,Unknown,port limits,"East Point Beach, Mackay",grease,unknown
937,,Brisbane,Unknown,Unknown,port limits,"Dunwich, Stradbroke Island, Moreton Bay",hydraulic oil,1.0
938,,Mackay,Unknown,Unknown,coastal waters,"Homestead Bay, St Bees Island",diesel,50.0
939,,Gladstone,Unknown,Unknown,coastal waters,"Rosslyn Bay Marina, Rosslyn Bay",diesel,200.0
940,,Townsville,Unknown,Unknown,coastal waters,"Deep Creek, Saunders Beach, Townsville",unknown,unknown
941,,Brisbane,Unknown,Recreational,coastal waters,"Southport Yacht Club Pontoon, Southport",diesel,0.5
942,,Townsville,Unknown,Unknown,port limits,"Berth 4, Townsville Marina, Townsville",sheen,1.0
943,,Brisbane,Unknown,Recreational,coastal waters,"Horizon Shores Marina, Gold Coast",diesel,1.0
944,,Cairns,Unknown,Unknown,coastal waters,"Cairns Duck pond, Smiths Creek , Cairns",sheen,1.0
945,,Cairns,Ship,Commercial,port limits,"A Finger, Marlin Marina, Cairns",diesel,100.0
946,,Gladstone,Land,Unknown,port limits,"Fitzroy River, Rockhampton",sheen,unknown
947,,Brisbane,Ship,Recreational,coastal waters,"South of Currigee Camp Ground, South Stradbroke Island",sheen,20.0
948,,Brisbane,Unknown,Unknown,port limits,"Doboy Ck, Bulimba, Brisbane",oil (unspec),unknown
949,,Brisbane,Unknown,Unknown,coastal waters,"Mariners Cove Fuel Wharf, Gold Coast",diesel,10.0
950,,Brisbane,Ship,Commercial,port limits,"Brisbane River, Teneriffe, Brisbane",soot,0.5
951,,Townsville,Unknown,Unknown,port limits,"Townsville Yacht Club, Townsville",diesel,0.5
952,,Gladstone,Unknown,Unknown,coastal waters,"Mary River Slipway, Maryborough",diesel,20.0
953,,Gladstone,Unknown,Unknown,coastal waters,"Snapper Creek, Tin Can Bay",sheen,unknown
954,,Cairns,Ship,Commercial,port limits,"New Trawler Pens, Smiths Creek, Cairns",diesel,10.0
955,,Brisbane,Unknown,Unknown,port limits,"Brisbane River, Port of Brisbane",other,2.0
956,,Brisbane,Unknown,Unknown,coastal waters,"Mooloolah River, Mooloolaba",sheen,1.5
957,,Brisbane,Unknown,Unknown,coastal waters,"Mooloolah River, Mooloolaba, Commercial Fishing Wharves",sheen,1.5
958,,Townsville,Ship,Commercial,port limits,"Townsville Breakwater, Townsville",hydraulic oil,30.0
959,,Mackay,Unknown,Unknown,coastal waters,"Abell Point Marina, Airlie Beach",sheen,2.5
960,,Brisbane,Unknown,Unknown,port limits,"Bulimba Reach, Brisbane",sheen,4.0
961,,Gladstone,Unknown,Unknown,port limits,"Gladstone Marina, Gladstone",sheen,12.0
962,,Townsville,Unknown,Unknown,port limits,"Ross Creek Boat Ramp, Townsville",oil (unspec),2.0
963,4/07/2018,Brisbane,Land,Unknown,coastal waters,"Vicinity of Pelican Boat Hire, Brisbane",hydraulic oil,2.0
964,9/07/2018,Cairns,Unknown,Unknown,port limits,"Vicinity of Prawn Star Seafoods, Cairns",oil (unspec),2.5
965,13/07/2018,Townsville,Unknown,Unknown,port limits,"Goondi Creek, Townsville",sheen,3.0
966,21/07/2018,Mackay,Ship,Recreational,coastal waters,"Berth 98, Port of Airlie, Airlie Beach",hydraulic oil,15.0
967,31/07/2018,Brisbane,Ship,Commercial,port limits,"GrainCorp Terminal, Brisbane",hydraulic oil,1.0
968,13/08/2018,Cairns,Unknown,Unknown,coastal waters,"Port Douglas Yacht Club, Port Douglas",diesel,unknown
969,9/09/2018,Cairns,Land,Unknown,port limits,"Chith Export Facility, Skardon River",diesel,150.0
970,11/09/2018,Gladstone,Ship,Commercial,port limits,"Hervey Bay Marina, Hervey Bay",bilge,2.0
971,13/09/2018,Gladstone,Unknown,Unknown,port limits,"Great Sandy Straits Marina, Hervey Bay",bilge,2.375
972,17/09/2018,Cairns,Ship,Commercial,port limits,"A finger, Cairns Fishrmans Base, Cairns",diesel,25.0
973,19/10/2018,Gladstone,Ship,Commercial,port limits,"Great Sandy Straits Marina, Hervey Bay",hydraulic oil,1.0
974,15/11/2018,Brisbane,Unknown,Unknown,port limits,"Aquatic Paradise Canal, Brisbane",sheen,10.0
975,25/11/2018,Brisbane,Ship,Commercial,port limits,"Lamb Island Boat Ramp, Brisbane",sump oil,20.0
976,8/12/2018,Gladstone,Unknown,Unknown,port limits,"Gladstone Marina, Gladstone",bilge,0.8
977,8/01/2019,Brisbane,Ship,Recreational,coastal waters,"Sanctuary Cove Marina, Sanctuary Cove",diesel,unknown
978,14/01/2019,Mackay,Land,Unknown,coastal waters,"Airlie Creek, Airlie Beach",cooking oil,5.0
979,14/01/2019,Brisbane,Ship,Commercial,port limits,"GrainCorp Liquid Terminal, Brisbane",other,200.0
980,17/01/2019,Cairns,Unknown,Unknown,coastal waters,"Poll Islet (S Warraber Island), Torres Straits",oil (unspec),unknown
981,4/02/2019,Gladstone,Ship,Commercial,port limits,"Burnett Heads Marina, Bundaberg",hydraulic oil,0.004
982,6/02/2019,Mackay,Ship,Commercial,port limits,"Anchored off Airlie Beach, Airlie Beach",sheen,0.02
983,9/02/2019,Townsville,Ship,Recreational,port limits,"Townsville Duck Pond, Townsville",sheen,90.0
984,13/02/2019,Cairns,Unknown,Unknown,port limits,"Smiths Creek, Trinity Inlet, Cairns",sheen,unknown
985,27/02/2019,Brisbane,Ship,Recreational,coastal waters,"Compass Marina, Scarborough",diesel,0.3
986,1/03/2019,Townsville,Land,Unknown,port limits,"Port of Townsville berths, Townsville",diesel,10.0
987,15/03/2019,Gladstone,Land,Unknown,coastal waters,"Fitzroy River, Rockhampton",sheen,1.3
988,16/03/2019,Brisbane,Ship,Recreational,port limits,"Hope Island Marina, Gold Coast",hydraulic oil,20.0
989,16/03/2019,Brisbane,Ship,Recreational,port limits,"Cabbage Tree Creek, Deagon, Brisbane",diesel,unknown
990,21/03/2019,Cairns,Ship,Commercial,port limits,"Smiths Creek, Trinity Inlet, Cairns",hydraulic oil,30.0
991,27/03/2019,Cairns,Ship,Commercial,coastal waters,Lockhart River,diesel,300.0
992,29/03/2019,Gladstone,Ship,Commercial,port limits,"Gladstone Bunkering Anchorage, Gladstone",diesel,12.0
993,23/04/2019,Brisbane,Ship,Recreational,port limits,"Mooloolaba Marina, Mooloolaba",diesel,2.0
994,29/04/2019,Cairns,Ship,Commercial,port limits,"Humbug Wharf,  Weipa",hydraulic oil,unknown
995,29/04/2019,Cairns,Ship,Commercial,port limits,Main Wharf  - Thursday Island,bilge,12.5
996,30/04/2019,Cairns,Ship,Commercial,port limits,"Marlin Marina, Cairns",cooking oil,200.0
997,14/05/2019,Gladstone,Ship,Unknown,coastal waters,"Burnett Heads, Bundaberg",garbage,unknown
998,17/05/2019,Brisbane,Ship,Commercial,coastal waters,"Sea World Wharf, Gold Coast",diesel,0.5
999,24/05/2019,Cairns,Ship,Commercial,port limits,"Trinity Wharf, Cairns",oil (unspec),unknown
1000,26/05/2019,Cairns,Unknown,Unknown,port limits,"Smiths Creek, Trinity Inlet, Cairns",sheen,0.6
1001,27/05/2019,Gladstone,Unknown,Unknown,port limits,"Gladstone Marina, Gladstone",other,unknown
1002,29/05/2019,Cairns,Ship,Commercial,coastal waters,"Blue Water Canal, Gold Coast",diesel,4.0
1003,28/05/2019,Brisbane,Ship,Recreational,coastal waters,"Runaway Bay, Gold Coast",diesel,10.0
1004,31/05/2019,Brisbane,Land,Unknown,port limits,"Caltex Wharf, Lytton, Brisbane",diesel,55.0
1005,1/06/2019,Gladstone,Ship,Commercial,port limits,"Gladstone Harbour, Gladstone",sheen,0.01
1006,6/06/2019,Gladstone,Ship,Commercial,port limits,"Gladstone Harbour, Gladstone",sheen,0.025
1007,13/06/2019,Gladstone,Ship,Recreational,coastal waters,"Round Hill Creek, Town of 1770",sheen,unknown
1008,28/06/2019,Mackay,Ship,Commercial,port limits,"Maritime Terminal, Port of Airlie, Airlie Beach",sheen,0.015
1009,1/07/2019,Brisbane,Ship,Recreational,coastal waters,"Southport Yacht Club, Southport",diesel,50.0
1010,1/07/2019,Brisbane,Ship,Commercial,coastal waters,"Carlo Point, Great Sandy Straits, Hervey Bay",garbage,unknown
1011,8/07/2019,Brisbane,Ship,Commercial,port limits,"Koopa Channel Swing Basin, Brisbane",hydraulic oil,unknown
1012,16/07/2019,Cairns,Ship,Commercial,port limits,"Raptis Wharf, Karumba",bilge,50.0
1013,19/07/2019,Gladstone,Ship,Commercial,port limits,"Rosslyn Bay Marina, Rosslyn Bay",diesel,1200.0
1014,5/08/2019,Cairns,Ship,Commercial,port limits,"Marlin Marina, Cairns",diesel,2.5
1015,7/08/2019,Cairns,Ship,Commercial,port limits,"Cairns Commercial Fishing Base #2, Trinity Inlet, Cairns",diesel,1000.0
1016,8/08/2019,Brisbane,Ship,Commercial,port limits,"Caltex Products Wharf, Lytton Rocks, Brisbane",other,20.0
1017,7/08/2019,Cairns,Ship,Commercial,port limits,"Cairns Commercial Fishing Base #2, Trinity Inlet, Cairns",diesel,10.0
1018,11/08/2019,Gladstone,Land,Unknown,port limits,"Service Pontoon, Gladstone Marina, Gladstone",diesel,100.0
1019,17/08/2019,Gladstone,Unknown,Unknown,port limits,"Gladstone Marina, Gladstone",diesel,45.0
1020,19/08/2019,Brisbane,Ship,Recreational,coastal waters,"Ephraim Island, Paradise Point",diesel,5.0
1021,25/08/2019,Gladstone,Ship,Commercial,port limits,"Auckland Point Berth #3, Gladstone",other,8.5
1022,27/08/2019,Brisbane,Ship,Recreational,coastal waters,"Sovereign Island bridge, Paradise Point",diesel,0.25
1023,28/08/2019,Cairns,Ship,Commercial,coastal waters,"Norman Reef, Cairns",other,7.0
1024,10/09/2019,Gladstone,Ship,Unknown,coastal waters,"Public Boat Ramp, Burrum River",diesel,0.25
1025,14/09/2019,Cairns,Ship,Commercial,port limits,"Lorim Point West Berth, Weipa",other,0.1
1026,18/09/2019,Brisbane,Ship,Commercial,coastal waters,"Aquatic Paradise Canal, Birkdale",other,0.5
1027,19/09/2019,Gladstone,Ship,Recreational,port limits,"Gladstone Marina, Gladstone",sheen,5.0
1028,4/10/2019,Gladstone,Unknown,Unknown,coastal waters,"Public Boat Ramp, Burnett River, Hervey Bay",other,3.0
1029,9/10/2019,Mackay,Ship,Recreational,coastal waters,"Coral Sea Marina, Airlie Beach",diesel,32.0
1030,12/10/2019,Brisbane,Unknown,Unknown,port limits,"Dockside Marina, Shafston Reach, Kangaroo Point",diesel,unknown
1031,15/10/2019,Townsville,Unknown,Unknown,port limits,"Townsville Breakwater Marina, Townsville",sheen,5.0
1032,24/10/2019,Brisbane,Ship,Commercial,coastal waters," 15nm E Point Cartwright, Mooloolaba",other,unknown
1033,31/10/2019,Brisbane,Ship,Commercial,coastal waters,"Currimundi Reef, Caloundra, Sunshine Coast",diesel,6000.0
